A01	40000001	41000000	12014	A01	40000001	41000000	19948	A01	40000001	41000000	16105	A01	40000001	41000000	4557	A01	40000001	41000000	9364	A01	40000001	41000000	4866	A01	40000001	41000000	5534
A01	40800001	41800000	13653	A01	40800001	41800000	19742	A01	40800001	41800000	16215	A01	40800001	41800000	4353	A01	40800001	41800000	9071	A01	40800001	41800000	4950	A01	40800001	41800000	5436
A01	41600001	42600000	10966	A01	41600001	42600000	16243	A01	41600001	42600000	13888	A01	41600001	42600000	3962	A01	41600001	42600000	7589	A01	41600001	42600000	4143	A01	41600001	42600000	4520
A01	42400001	43400000	6773	A01	42400001	43400000	13870	A01	42400001	43400000	11165	A01	42400001	43400000	2705	A01	42400001	43400000	6213	A01	42400001	43400000	2926	A01	42400001	43400000	4021
A01	43200001	44200000	7282	A01	43200001	44200000	16847	A01	43200001	44200000	13469	A01	43200001	44200000	2996	A01	43200001	44200000	6978	A01	43200001	44200000	3327	A01	43200001	44200000	4619
A01	44000001	45000000	8357	A01	44000001	45000000	18599	A01	44000001	45000000	14291	A01	44000001	45000000	3399	A01	44000001	45000000	7992	A01	44000001	45000000	3972	A01	44000001	45000000	5243
A01	44800001	45800000	12056	A01	44800001	45800000	19859	A01	44800001	45800000	16314	A01	44800001	45800000	4266	A01	44800001	45800000	8916	A01	44800001	45800000	4528	A01	44800001	45800000	5273
A01	45600001	46600000	10532	A01	45600001	46600000	17862	A01	45600001	46600000	14708	A01	45600001	46600000	4196	A01	45600001	46600000	8618	A01	45600001	46600000	4266	A01	45600001	46600000	5110
A01	46400001	47400000	7200	A01	46400001	47400000	14060	A01	46400001	47400000	11103	A01	46400001	47400000	3048	A01	46400001	47400000	6064	A01	46400001	47400000	3193	A01	46400001	47400000	3927
A01	47200001	48200000	9202	A01	47200001	48200000	18251	A01	47200001	48200000	14455	A01	47200001	48200000	3915	A01	47200001	48200000	8557	A01	47200001	48200000	4238	A01	47200001	48200000	5442
A01	48000001	49000000	9003	A01	48000001	49000000	17879	A01	48000001	49000000	13624	A01	48000001	49000000	3780	A01	48000001	49000000	7933	A01	48000001	49000000	4050	A01	48000001	49000000	5197
A01	48800001	49800000	7126	A01	48800001	49800000	15069	A01	48800001	49800000	11368	A01	48800001	49800000	2883	A01	48800001	49800000	6356	A01	48800001	49800000	3204	A01	48800001	49800000	4225
A01	49600001	50600000	9984	A01	49600001	50600000	18715	A01	49600001	50600000	15568	A01	49600001	50600000	3450	A01	49600001	50600000	8263	A01	49600001	50600000	3929	A01	49600001	50600000	5327
A01	50400001	51400000	9546	A01	50400001	51400000	16771	A01	50400001	51400000	13457	A01	50400001	51400000	3507	A01	50400001	51400000	7386	A01	50400001	51400000	3835	A01	50400001	51400000	4473
A01	51200001	52200000	7603	A01	51200001	52200000	14524	A01	51200001	52200000	11299	A01	51200001	52200000	3244	A01	51200001	52200000	6595	A01	51200001	52200000	3647	A01	51200001	52200000	3983
A01	52000001	53000000	6848	A01	52000001	53000000	15185	A01	52000001	53000000	11474	A01	52000001	53000000	3017	A01	52000001	53000000	6460	A01	52000001	53000000	3049	A01	52000001	53000000	4173
A01	52800001	53800000	9748	A01	52800001	53800000	19463	A01	52800001	53800000	15249	A01	52800001	53800000	3901	A01	52800001	53800000	8618	A01	52800001	53800000	4326	A01	52800001	53800000	5301
A01	53600001	54600000	10196	A01	53600001	54600000	20737	A01	53600001	54600000	16165	A01	53600001	54600000	4192	A01	53600001	54600000	8850	A01	53600001	54600000	4695	A01	53600001	54600000	5337
A01	54400001	55400000	9675	A01	54400001	55400000	20294	A01	54400001	55400000	15445	A01	54400001	55400000	3857	A01	54400001	55400000	8458	A01	54400001	55400000	4381	A01	54400001	55400000	5238
A01	55200001	56200000	10103	A01	55200001	56200000	18588	A01	55200001	56200000	14037	A01	55200001	56200000	3765	A01	55200001	56200000	8140	A01	55200001	56200000	4194	A01	55200001	56200000	4897
A01	56000001	57000000	10154	A01	56000001	57000000	16364	A01	56000001	57000000	12989	A01	56000001	57000000	3674	A01	56000001	57000000	7148	A01	56000001	57000000	3874	A01	56000001	57000000	4263
A01	56800001	57800000	7707	A01	56800001	57800000	14028	A01	56800001	57800000	11182	A01	56800001	57800000	2840	A01	56800001	57800000	6062	A01	56800001	57800000	3435	A01	56800001	57800000	3941
A01	57600001	58600000	8544	A01	57600001	58600000	17698	A01	57600001	58600000	13259	A01	57600001	58600000	3372	A01	57600001	58600000	7631	A01	57600001	58600000	3964	A01	57600001	58600000	4676
A01	58400001	59400000	8528	A01	58400001	59400000	17052	A01	58400001	59400000	12696	A01	58400001	59400000	3385	A01	58400001	59400000	7349	A01	58400001	59400000	3635	A01	58400001	59400000	4408
A01	59200001	60200000	9062	A01	59200001	60200000	18286	A01	59200001	60200000	13781	A01	59200001	60200000	3576	A01	59200001	60200000	7814	A01	59200001	60200000	3784	A01	59200001	60200000	4653
A01	60000001	61000000	10443	A01	60000001	61000000	19172	A01	60000001	61000000	15294	A01	60000001	61000000	4002	A01	60000001	61000000	8203	A01	60000001	61000000	4212	A01	60000001	61000000	4814
A01	60800001	61800000	9935	A01	60800001	61800000	18431	A01	60800001	61800000	14814	A01	60800001	61800000	3667	A01	60800001	61800000	8531	A01	60800001	61800000	4103	A01	60800001	61800000	5002
A01	61600001	62600000	11949	A01	61600001	62600000	19800	A01	61600001	62600000	16874	A01	61600001	62600000	4131	A01	61600001	62600000	8716	A01	61600001	62600000	4369	A01	61600001	62600000	5181
A01	62400001	63400000	8544	A01	62400001	63400000	13506	A01	62400001	63400000	10963	A01	62400001	63400000	3223	A01	62400001	63400000	6122	A01	62400001	63400000	3363	A01	62400001	63400000	3758
A01	63200001	64200000	9326	A01	63200001	64200000	16244	A01	63200001	64200000	13148	A01	63200001	64200000	3693	A01	63200001	64200000	7183	A01	63200001	64200000	3857	A01	63200001	64200000	4647
A01	64000001	65000000	11403	A01	64000001	65000000	18917	A01	64000001	65000000	15137	A01	64000001	65000000	4257	A01	64000001	65000000	8587	A01	64000001	65000000	4774	A01	64000001	65000000	5255
A01	64800001	65800000	6854	A01	64800001	65800000	13666	A01	64800001	65800000	10474	A01	64800001	65800000	2654	A01	64800001	65800000	5684	A01	64800001	65800000	2952	A01	64800001	65800000	3550
A01	65600001	66600000	7570	A01	65600001	66600000	14368	A01	65600001	66600000	10941	A01	65600001	66600000	3099	A01	65600001	66600000	6410	A01	65600001	66600000	3568	A01	65600001	66600000	3872
A01	66400001	67400000	7300	A01	66400001	67400000	12773	A01	66400001	67400000	9544	A01	66400001	67400000	2901	A01	66400001	67400000	5899	A01	66400001	67400000	3330	A01	66400001	67400000	3410
A01	67200001	68200000	7313	A01	67200001	68200000	12299	A01	67200001	68200000	9784	A01	67200001	68200000	2692	A01	67200001	68200000	5745	A01	67200001	68200000	3338	A01	67200001	68200000	3640
A01	68000001	69000000	10945	A01	68000001	69000000	21500	A01	68000001	69000000	17981	A01	68000001	69000000	4072	A01	68000001	69000000	9313	A01	68000001	69000000	4418	A01	68000001	69000000	6078
A01	68800001	69800000	10892	A01	68800001	69800000	22819	A01	68800001	69800000	17840	A01	68800001	69800000	4341	A01	68800001	69800000	9891	A01	68800001	69800000	4410	A01	68800001	69800000	6139
A01	69600001	70600000	7623	A01	69600001	70600000	14813	A01	69600001	70600000	10958	A01	69600001	70600000	2958	A01	69600001	70600000	6443	A01	69600001	70600000	3309	A01	69600001	70600000	3979
A01	70400001	71400000	10647	A01	70400001	71400000	21095	A01	70400001	71400000	16181	A01	70400001	71400000	3987	A01	70400001	71400000	9401	A01	70400001	71400000	4437	A01	70400001	71400000	5750
A01	71200001	72200000	10682	A01	71200001	72200000	20676	A01	71200001	72200000	16528	A01	71200001	72200000	3906	A01	71200001	72200000	9133	A01	71200001	72200000	4351	A01	71200001	72200000	5478
A01	72000001	73000000	8341	A01	72000001	73000000	17312	A01	72000001	73000000	13202	A01	72000001	73000000	3251	A01	72000001	73000000	7462	A01	72000001	73000000	3840	A01	72000001	73000000	4380
A01	72800001	73800000	9222	A01	72800001	73800000	16956	A01	72800001	73800000	13301	A01	72800001	73800000	3724	A01	72800001	73800000	8128	A01	72800001	73800000	4316	A01	72800001	73800000	4778
A01	73600001	74600000	7399	A01	73600001	74600000	15042	A01	73600001	74600000	11672	A01	73600001	74600000	3087	A01	73600001	74600000	7198	A01	73600001	74600000	3194	A01	73600001	74600000	4509
A01	74400001	75400000	11892	A01	74400001	75400000	21682	A01	74400001	75400000	18165	A01	74400001	75400000	4097	A01	74400001	75400000	9637	A01	74400001	75400000	4487	A01	74400001	75400000	5830
A01	75200001	76200000	9609	A01	75200001	76200000	15663	A01	75200001	76200000	13496	A01	75200001	76200000	3668	A01	75200001	76200000	7406	A01	75200001	76200000	3926	A01	75200001	76200000	4577
